"stop_id","stop_name","stop_desc","num_trips","stop_lat","stop_lon"
"364759","Junction","Jamestown","18","42.096881","-79.237982"
"STOP_cf45d44f-1408-4095-8d41-acb100f6c296","Walmart",,"6","42.453782","-79.312534"
"STOP_aaa24966-5097-4b44-a581-47bfc1e3e7ac","Dunkirk City Hall",,"5","42.483357","-79.334410"
"STOP_0bb67a21-f462-47cf-b583-bbf05609b1e2","Save-A-Lot",,"5","42.484678","-79.329572"
"364743","Lakeside Community",,"4","42.497036","-79.309830"
"364754","Don's Motel",,"4","42.482139","-79.355922"
"364767","2nd & Foote",,"4","42.097477","-79.234428"
"364746","Doughty & Lincoln",,"4","42.478467","-79.319551"
"STOP_c9fdaa14-1699-47fc-99af-d886d22c9431","TJ Maxx Plaza/Aldi (OR)","On Request","4","42.459371","-79.319229"
"STOP_7446e78f-4364-4c73-9995-c78bc7b63972","Shirley Lane (OR)","On Request","4","42.098679","-79.265177"
"STOP_512e3bb4-a26d-474c-8ec1-ca3edb608d75","Tops Plaza",,"4","42.457550","-79.317963"
"364744","E 2nd & Roberts Rd.",,"4","42.487953","-79.322876"
"STOP_4b1efeed-c2fb-4934-b3e5-ff5e96084f5c","Courtney Apts",,"4","42.478705","-79.323328"
"364783","Fairmount & McDaniel",,"4","42.096981","-79.265755"
"364768","2nd & Buffalo",,"3","42.107506","-79.222412"
"364776","2nd & Tiffany",,"3","42.113594","-79.207199"
"364770","Elmwood & S Work",,"3","42.116524","-79.194031"
"wyv1","Cole Ave & Foote Ave",,"3","42.081868","-79.229639"
"364778","Trucklite/MRC",,"3","42.121632","-79.186623"
"STOP_24c252f6-5e48-4512-8add-3f656d6998f7","K-Mart (OR)","On Request","3","42.094929","-79.292944"
"STOP_5e72748e-99dd-43c0-9e79-0773a4afd1cd","Passages Resource Center",,"3","42.105157","-79.224932"
"364760","Riverwalk Medical Center",,"2","42.094003","-79.237744"
"364799","TOPS",,"2","42.109671","-79.245074"
"364771","Methodist Gardens (OR)","Call CARTS Office","2","42.125395","-79.197350"
"364805","Southside Plaza",,"2","42.079966","-79.229257"
"x2b2","Allen St & Willard St",,"2","42.097228","-79.225551"
"364798","Prendergast & 8th",,"2","42.101311","-79.238945"
"364785","Chautauqua Mall",,"2","42.097291","-79.304574"
"364774","JCC",,"2","42.113617","-79.217520"
"STOP_d7467004-6a75-4c81-9d0b-a37a8ed87bdc","Save-A-Lot (OR)","On Request","2","42.114686","-79.247990"
"364762","Newland & Prospect",,"2","42.086170","-79.237114"
"rd27","W 4th St & Cherry St",,"2","42.097006","-79.242756"
"364751","Central & Howard",,"2","42.473183","-79.333145"
"364801","6th & Washington",,"2","42.098599","-79.244446"
"o4je","Rogers Elementary",,"2","42.085215","-79.222708"
"364758","Steger Apts",,"2","42.488982","-79.329819"
"364782","Hallock & W 3rd st.",,"2","42.093144","-79.261162"
"q0fo","W 8th St & Jones and Gifford (OR)","On Request","2","42.098032","-79.252410"
"STOP_fb97980b-5bcf-4c80-8e64-09de1c6358eb","Connections North/JCC (OR)","On Request","2","42.469509","-79.319444"
"364761","Barrett & Newland",,"2","42.086151","-79.243073"
"e5jq","W 8th St & Jones and Gifford",,"2","42.098042","-79.252392"
"364766","Farm Fresh Foods","Jamestown","2","42.093852","-79.255006"
"hbeh","3rd St & Washington St",,"2","42.095969","-79.243666"
"364755","2nd & Swan",,"2","42.485611","-79.338348"
"364806","Sherman & Prather",,"2","42.090668","-79.231201"
"7uue","WCA",,"2","42.091670","-79.233036"
"364797","Buffalo & Prendergast",,"2","42.110497","-79.238991"
"3i48","Jones Hill (OR)","On Request","2","42.091183","-79.248351"
"364795","Thayer & Newton",,"2","42.107918","-79.229431"
"364792","5th & Prendergast",,"2","42.098702","-79.238205"
"STOP_8518fa5c-6605-499b-8d8f-f212377f3c62","High Rise (OR)","On Request","2","42.488828","-79.329533"
"364787","Ellicott Shores",,"2","42.108873","-79.287081"
"364764","Baker & Sprague",,"2","42.089481","-79.250137"
"364756","Central & 6th",,"2","42.479630","-79.333458"
"364807","Foote & Harrison",,"2","42.094280","-79.233482"
"go4g","Pardee Ave & Willard St",,"2","42.097376","-79.215690"
"STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8","Four Corners","Falconer","2","42.118941","-79.198090"
"STOP_1b9f05b4-3df1-4213-b79b-3691ae2b29a2","Home Depot/Bob Evans (OR)","On Request","2","42.457787","-79.313543"
"364763","Cole & Sampson",,"2","42.081909","-79.247282"
"p1rq","Gateway Station",,"2","42.094839","-79.244775"
"364803","S Main & Harrison",,"2","42.093071","-79.238998"
"5fez","S Main St & Newland Ave",,"2","42.086185","-79.234644"
