shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,0,42.096850,-79.237980,0
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,1,42.096850,-79.237990,0.8250816156827634
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,2,42.096640,-79.239570,133.2630232416078
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,3,42.096340,-79.241290,279.045786003132
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,4,42.096260,-79.241910,330.96897333890973
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,5,42.095960,-79.243680,480.77153881352683
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,6,42.094760,-79.243340,617.1227515330247
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,7,42.093931,-79.242930,715.3438575780765
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,8,42.093930,-79.242930,715.419472136697
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,9,42.092550,-79.242230,879.3791087217372
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,10,42.092360,-79.242110,902.7114010638714
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,11,42.092140,-79.241900,932.6896082707697
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,12,42.092040,-79.241850,944.5498361479889
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,13,42.091960,-79.241690,960.4694135749099
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,14,42.091790,-79.241530,983.5265472759999
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,15,42.091690,-79.241500,994.9182672117029
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,16,42.091600,-79.241530,1005.2274400345785
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,17,42.091550,-79.241580,1012.1507837132228
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,18,42.091496,-79.241696,1024.0905289256145
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,19,42.091490,-79.241710,1025.4091240006053
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,20,42.091470,-79.241810,1033.9550724196365
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,21,42.091490,-79.242030,1052.2441188443431
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,22,42.091510,-79.242170,1064.008350498403
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,23,42.091840,-79.242130,1100.8508693781832
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,24,42.091960,-79.242140,1114.2197678538505
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,25,42.092180,-79.242210,1139.3553321482534
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,26,42.092550,-79.241400,1217.8395656332843
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,27,42.092650,-79.241140,1242.0035611096473
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,28,42.092760,-79.240660,1283.4557492305148
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,29,42.092860,-79.240150,1326.9818903739986
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,30,42.093350,-79.237510,1551.5270065557752
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,31,42.093990,-79.237730,1624.970568507971
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,32,42.094070,-79.237760,1634.2041591148409
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,33,42.093967,-79.238247,1675.9865543515382
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,34,42.093960,-79.238280,1678.8197092807136
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,35,42.093940,-79.238270,1681.191746438856
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,36,42.093250,-79.238050,1760.0345430148425
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,37,42.092860,-79.240150,1938.6562426621974
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,38,42.092760,-79.240660,1982.1823838056812
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,39,42.092650,-79.241140,2023.6345719265487
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,40,42.092550,-79.241400,2047.7985674029117
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,41,42.092180,-79.242210,2126.2828008879424
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,42,42.091960,-79.242140,2151.418365182345
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,43,42.091890,-79.242450,2178.1559221124207
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,44,42.091850,-79.242550,2187.5298013585452
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,45,42.091610,-79.242750,2218.9070886736254
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,46,42.091470,-79.242910,2239.318968525409
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,47,42.091420,-79.243220,2265.495913030255
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,48,42.091470,-79.243630,2299.7809379835576
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,49,42.091470,-79.243880,2320.4097281659933
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,50,42.091440,-79.244190,2346.206031465228
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,51,42.091590,-79.244860,2403.9523915730015
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,52,42.091600,-79.245320,2441.9255745629407
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,53,42.091560,-79.245690,2472.778416164732
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,54,42.091460,-79.246110,2509.1749235871416
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,55,42.091450,-79.246670,2555.396801449835
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,56,42.091500,-79.247170,2597.0273014921877
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,57,42.091500,-79.248380,2696.8705987485514
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,58,42.091180,-79.248370,2732.4625907535046
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,59,42.091500,-79.248380,2768.054582758458
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,60,42.091500,-79.247170,2867.8978800148216
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,61,42.091450,-79.246670,2909.528380057174
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,62,42.091460,-79.246110,2955.7502579198676
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,63,42.091560,-79.245690,2992.1467653422774
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,64,42.091600,-79.245320,3022.9996069440685
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,65,42.091590,-79.244860,3060.972789934008
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,66,42.091450,-79.244260,3112.8716140496717
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,67,42.091449,-79.244255,3113.307466417551
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,68,42.091450,-79.244260,3113.74331800444
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,69,42.091440,-79.244190,3119.625438749115
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,70,42.091470,-79.243880,3145.4217420483496
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,71,42.091470,-79.243630,3166.0505322307854
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,72,42.091420,-79.243220,3200.335557184088
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,73,42.091470,-79.242910,3226.5125016889338
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,74,42.091610,-79.242750,3246.9243815407176
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,75,42.091850,-79.242550,3278.3016688557977
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,76,42.091890,-79.242450,3287.6755481019222
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,77,42.091960,-79.242140,3314.413105031998
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,78,42.091840,-79.242130,3327.782003507665
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,79,42.091510,-79.242170,3364.6245223874457
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,80,42.090790,-79.242420,3447.299961159383
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,81,42.088788,-79.243287,3681.146772116387
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,82,42.088780,-79.243290,3682.048788091036
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,83,42.088600,-79.243340,3702.48474115357
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,84,42.088150,-79.243320,3752.549736956924
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,85,42.086130,-79.243120,3977.7693278762745
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,86,42.086130,-79.243080,3980.24499109168
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,87,42.086160,-79.237120,4472.087945935768
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,88,42.086160,-79.237130,4472.913166616168
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,89,42.086160,-79.237110,4474.563607978142
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,90,42.082793,-79.237130,4848.988980565408
