trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
CARTS-Falconer-04-02,0,364759,15:00:00,15:00:00,,0,0,,,0,0
CARTS-Falconer-04-02,1,364767,15:03:00,15:03:00,,0,0,,,407.72,0
CARTS-Falconer-04-02,2,STOP_5e72748e-99dd-43c0-9e79-0773a4afd1cd,15:05:00,15:05:00,,0,0,,,1566.42,
CARTS-Falconer-04-02,3,364768,15:06:00,15:06:00,,0,0,,,1900.5,0
CARTS-Falconer-04-02,4,364776,15:08:00,15:08:00,,0,0,,,3430.82,0
CARTS-Falconer-04-02,5,364777,15:09:00,15:09:00,,0,0,,,5895.93,0
CARTS-Falconer-04-02,6,364770,15:10:00,15:10:00,,0,0,,,8866.49,0
CARTS-Falconer-04-02,7,364778,15:11:00,15:11:00,,0,0,,,9703.51,0
CARTS-Falconer-04-02,8,364771,15:16:00,15:16:00,,0,0,,,13728.93,
CARTS-Falconer-04-02,9,STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,15:25:00,15:25:00,,0,0,,,14790.04,
CARTS-Falconer-04-02,10,364774,15:30:00,15:30:00,,0,0,,,16693.23,0
CARTS-Falconer-04-02,11,364768,15:30:00,15:30:00,,0,0,,,17590.01,0
CARTS-Falconer-04-02,12,364767,15:31:00,15:31:00,,0,0,,,19082.78,0
CARTS-Falconer-04-02,13,364759,15:45:00,15:45:00,,0,0,,,19391.87,
CARTS-Green-01-01,0,364743,07:30:00,07:30:00,,0,0,,,0,0
CARTS-Green-01-01,1,364744,07:33:00,07:33:00,,0,0,,,1751.46,0
CARTS-Green-01-01,2,STOP_8518fa5c-6605-499b-8d8f-f212377f3c62,07:35:00,07:35:00,,2,2,,,2476.94,0
CARTS-Green-01-01,3,STOP_0bb67a21-f462-47cf-b583-bbf05609b1e2,07:40:00,07:40:00,,0,0,,,3745.01,0
CARTS-Green-01-01,4,364746,07:44:00,07:44:00,,0,0,,,4987.49,0
CARTS-Green-01-01,5,STOP_4b1efeed-c2fb-4934-b3e5-ff5e96084f5c,07:48:00,07:48:00,,0,0,,,6825.43,0
CARTS-Green-01-01,6,STOP_fb97980b-5bcf-4c80-8e64-09de1c6358eb,07:52:00,07:52:00,,,,,,7923.92,0
CARTS-Green-01-01,7,STOP_cf45d44f-1408-4095-8d41-acb100f6c296,08:00:00,08:00:00,,0,0,,,9970.22,0
CARTS-Green-01-01,8,STOP_c9fdaa14-1699-47fc-99af-d886d22c9431,08:04:00,08:04:00,,,,,,11257.71,0
CARTS-Green-01-01,9,STOP_512e3bb4-a26d-474c-8ec1-ca3edb608d75,08:05:00,08:05:00,,0,0,,,11486.12,0
CARTS-Green-01-01,10,364750,08:06:00,08:06:00,,0,0,,,12720.54,0
CARTS-Green-01-01,11,364751,08:09:00,08:09:00,,0,0,,,14686.94,0
CARTS-Green-01-01,12,STOP_aaa24966-5097-4b44-a581-47bfc1e3e7ac,08:17:00,08:17:00,,0,0,,,16088.69,0
CARTS-Green-01-01,13,364753,08:20:00,08:20:00,,0,0,,,17512.5,0
CARTS-Green-01-01,14,364754,08:25:00,08:25:00,,0,0,,,18377.81,0
CARTS-Green-01-02,0,364743,08:30:00,08:30:00,,0,0,,,0,0
CARTS-Green-01-02,1,364744,08:33:00,08:33:00,,0,0,,,1751.46,0
CARTS-Green-01-02,2,STOP_8518fa5c-6605-499b-8d8f-f212377f3c62,08:35:00,08:35:00,,2,2,,,2476.94,0
CARTS-Green-01-02,3,STOP_0bb67a21-f462-47cf-b583-bbf05609b1e2,08:40:00,08:40:00,,0,0,,,3745.01,0
CARTS-Green-01-02,4,364746,08:44:00,08:44:00,,0,0,,,4987.49,0
CARTS-Green-01-02,5,STOP_4b1efeed-c2fb-4934-b3e5-ff5e96084f5c,08:48:00,08:48:00,,0,0,,,6825.43,0
CARTS-Green-01-02,6,STOP_fb97980b-5bcf-4c80-8e64-09de1c6358eb,08:52:00,08:52:00,,,,,,7923.92,0
CARTS-Green-01-02,7,STOP_cf45d44f-1408-4095-8d41-acb100f6c296,09:00:00,09:00:00,,0,0,,,9970.22,0
CARTS-Green-01-02,8,STOP_c9fdaa14-1699-47fc-99af-d886d22c9431,09:04:00,09:04:00,,,,,,11257.71,0
CARTS-Green-01-02,9,STOP_512e3bb4-a26d-474c-8ec1-ca3edb608d75,09:05:00,09:05:00,,0,0,,,11486.12,0
CARTS-Green-01-02,10,364750,09:06:00,09:06:00,,0,0,,,12720.54,0
CARTS-Green-01-02,11,364751,09:09:00,09:09:00,,0,0,,,14686.94,0
CARTS-Green-01-02,12,STOP_aaa24966-5097-4b44-a581-47bfc1e3e7ac,09:17:00,09:17:00,,0,0,,,16088.69,0
CARTS-Green-01-02,13,364753,09:20:00,09:20:00,,0,0,,,17512.5,0
CARTS-Green-01-02,14,364754,09:25:00,09:25:00,,0,0,,,18377.81,0
CARTS-Green-01-03,0,364743,09:30:00,09:30:00,,0,0,,,0,0
CARTS-Green-01-03,1,364744,09:33:00,09:33:00,,0,0,,,1751.46,0
CARTS-Green-01-03,2,STOP_8518fa5c-6605-499b-8d8f-f212377f3c62,09:35:00,09:35:00,,2,2,,,2476.94,0
CARTS-Green-01-03,3,STOP_0bb67a21-f462-47cf-b583-bbf05609b1e2,09:40:00,09:40:00,,0,0,,,3745.01,0
CARTS-Green-01-03,4,364746,09:44:00,09:44:00,,0,0,,,4987.49,0
CARTS-Green-01-03,5,STOP_4b1efeed-c2fb-4934-b3e5-ff5e96084f5c,09:48:00,09:48:00,,0,0,,,6825.43,0
CARTS-Green-01-03,6,STOP_fb97980b-5bcf-4c80-8e64-09de1c6358eb,09:52:00,09:52:00,,,,,,7923.92,0
CARTS-Green-01-03,7,STOP_cf45d44f-1408-4095-8d41-acb100f6c296,10:00:00,10:00:00,,0,0,,,9970.22,0
CARTS-Green-01-03,8,STOP_c9fdaa14-1699-47fc-99af-d886d22c9431,10:04:00,10:04:00,,,,,,11257.71,0
CARTS-Green-01-03,9,STOP_512e3bb4-a26d-474c-8ec1-ca3edb608d75,10:05:00,10:05:00,,0,0,,,11486.12,0
CARTS-Green-01-03,10,364750,10:06:00,10:06:00,,0,0,,,12720.54,0
CARTS-Green-01-03,11,364751,10:09:00,10:09:00,,0,0,,,14686.94,0
CARTS-Green-01-03,12,STOP_aaa24966-5097-4b44-a581-47bfc1e3e7ac,10:17:00,10:17:00,,0,0,,,16088.69,0
CARTS-Green-01-03,13,364753,10:20:00,10:20:00,,0,0,,,17512.5,0
CARTS-Green-01-03,14,364754,10:25:00,10:25:00,,0,0,,,18377.81,0
CARTS-Green-01-04,0,364743,10:30:00,10:30:00,,0,0,,,0,0
CARTS-Green-01-04,1,364744,10:33:00,10:33:00,,0,0,,,1751.46,0
CARTS-Green-01-04,2,STOP_8518fa5c-6605-499b-8d8f-f212377f3c62,10:35:00,10:35:00,,2,2,,,2476.94,0
CARTS-Green-01-04,3,STOP_0bb67a21-f462-47cf-b583-bbf05609b1e2,10:40:00,10:40:00,,0,0,,,3745.01,0
CARTS-Green-01-04,4,364746,10:44:00,10:44:00,,0,0,,,4987.49,0
CARTS-Green-01-04,5,STOP_4b1efeed-c2fb-4934-b3e5-ff5e96084f5c,10:48:00,10:48:00,,0,0,,,6825.43,0
CARTS-Green-01-04,6,STOP_fb97980b-5bcf-4c80-8e64-09de1c6358eb,10:52:00,10:52:00,,,,,,7923.92,0
CARTS-Green-01-04,7,STOP_cf45d44f-1408-4095-8d41-acb100f6c296,11:00:00,11:00:00,,0,0,,,9970.22,0
CARTS-Green-01-04,8,STOP_c9fdaa14-1699-47fc-99af-d886d22c9431,11:04:00,11:04:00,,,,,,11257.71,0
CARTS-Green-01-04,9,STOP_512e3bb4-a26d-474c-8ec1-ca3edb608d75,11:05:00,11:05:00,,0,0,,,11486.12,0
CARTS-Green-01-04,10,364750,11:06:00,11:06:00,,0,0,,,12720.54,0
CARTS-Green-01-04,11,364751,11:09:00,11:09:00,,0,0,,,14686.94,0
CARTS-Green-01-04,12,STOP_aaa24966-5097-4b44-a581-47bfc1e3e7ac,11:17:00,11:17:00,,0,0,,,16088.69,0
CARTS-Green-01-04,13,364753,11:20:00,11:20:00,,0,0,,,17512.5,0
