stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
364798,364798,Prendergast & 8th,,42.101311,-79.238945,,,0,,,,
364797,364797,Buffalo & Prendergast,,42.110497,-79.238991,,,0,,,,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,,Four Corners,Falconer,42.118941,-79.198090,,,0,,,,
364794,364794,Lakeview & Falconer,,42.103260,-79.236565,,,0,,,,
364758,364758,Steger Apts,,42.488982,-79.329819,,,0,,,,
364795,364795,Thayer & Newton,,42.107918,-79.229431,,,0,,,,
364753,364753,Resource Center,,42.485523,-79.346870,,,0,,,,
364754,364754,Don's Motel,,42.482139,-79.355922,,,0,,,,
364755,364755,2nd & Swan,,42.485611,-79.338348,,,0,,,,
364756,364756,Central & 6th,,42.479630,-79.333458,,,0,,,,
364750,364750,D&F Plaza,,42.457819,-79.330741,,,0,,,,
364751,364751,Central & Howard,,42.473183,-79.333145,,,0,,,,
364770,364770,Elmwood & S Work,,42.116524,-79.194031,,,0,,,,
STOP_0bb67a21-f462-47cf-b583-bbf05609b1e2,,Save-A-Lot,,42.484678,-79.329572,,,0,,,,
364768,364768,2nd & Buffalo,,42.107506,-79.222412,,,0,,,,
364769,364769,2nd & Hopkins,,42.111260,-79.218285,,,0,,,,
364766,364766,Farm Fresh Foods,Jamestown,42.093852,-79.255006,,,0,,,,
364764,364764,Baker & Sprague,,42.089481,-79.250137,,,0,,,,
364765,364765,Front & Hall,,42.092388,-79.255554,,,0,,,,
364762,364762,Newland & Prospect,,42.086170,-79.237114,,,0,,,,
STOP_512e3bb4-a26d-474c-8ec1-ca3edb608d75,,Tops Plaza,,42.457550,-79.317963,,,0,,,,
364763,364763,Cole & Sampson,,42.081909,-79.247282,,,0,,,,
364760,364760,Riverwalk Medical Center,,42.094003,-79.237744,,,0,,,,
364761,364761,Barrett & Newland,,42.086151,-79.243073,,,0,,,,
STOP_4b1efeed-c2fb-4934-b3e5-ff5e96084f5c,,Courtney Apts,,42.478705,-79.323328,,,0,,,,
STOP_9c42d68a-0be8-43f4-97da-8c2ab60d00fa,,Walmart,,42.097501,-79.299896,,,0,,,,
364780,364780,Falconer & Tiffany,,42.114693,-79.207207,,,0,,,,
364774,364774,JCC,,42.113617,-79.217520,,,0,,,,
364773,364773,Falconer & Aldren,,42.114510,-79.208740,,,0,,,,
364776,364776,2nd & Tiffany,,42.113594,-79.207199,,,0,,,,
364775,364775,2nd & Winsor,,42.100445,-79.230675,,,0,,,,
364778,364778,Trucklite/MRC,,42.121632,-79.186623,,,0,,,,
STOP_aaa24966-5097-4b44-a581-47bfc1e3e7ac,,Dunkirk City Hall,,42.483357,-79.334410,,,0,,,,
364779,364779,Budget Inn,,42.118973,-79.197993,,,0,,,,
364809,364809,4th & Washington,,42.096829,-79.243935,,,0,,,,
STOP_cf45d44f-1408-4095-8d41-acb100f6c296,,Walmart,,42.453782,-79.312534,,,0,,,,
364792,364792,5th & Prendergast,,42.098702,-79.238205,,,0,,,,
364790,364790,Washington & W 8TH,,42.100342,-79.244965,,,0,,,,
364785,364785,Chautauqua Mall,,42.097291,-79.304574,,,0,,,,
364746,364746,Doughty & Lincoln,,42.478467,-79.319551,,,0,,,,
364783,364783,Fairmount & McDaniel,,42.096981,-79.265755,,,0,,,,
364800,364800,N Main & 10th,,42.102799,-79.241394,,,0,,,,
