from_stop_id,to_stop_id,transfer_type,min_transfer_time
364798,364797,3,
364798,364794,3,
364798,364795,3,
364798,364768,3,
364798,364766,3,
364798,364764,3,
364798,364760,3,
364798,364775,3,
364798,364809,3,
364798,364792,3,
364798,364790,3,
364798,364800,3,
364798,364788,3,
364798,364806,3,
364798,364807,3,
364798,364808,3,
364798,364801,3,
364798,364802,3,
364798,364803,3,
364798,hbeh,3,
364798,364759,3,
364798,364804,3,
364798,rd27,3,
364798,3i48,3,
364798,p1rq,3,
364798,69rr,3,
364798,364799,3,
364798,e5jq,3,
364798,STOP_5e72748e-99dd-43c0-9e79-0773a4afd1cd,3,
364798,364767,3,
364798,q0fo,3,
364798,STOP_13581b6a-1760-4862-8bfc-6955a15a6fde,3,
364798,x2b2,3,
364798,7uue,3,
364797,364798,3,
364797,364794,3,
364797,364795,3,
364797,364768,3,
364797,364775,3,
364797,364809,3,
364797,364792,3,
364797,364790,3,
364797,364800,3,
364797,364808,3,
364797,364801,3,
364797,364802,3,
364797,364759,3,
364797,rd27,3,
364797,364799,3,
364797,364796,3,
364797,STOP_d7467004-6a75-4c81-9d0b-a37a8ed87bdc,3,
364797,STOP_5e72748e-99dd-43c0-9e79-0773a4afd1cd,3,
364797,364767,3,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,364770,3,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,364780,3,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,364773,3,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,364776,3,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,364778,3,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,364779,3,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,364781,3,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,364777,3,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,c50g,3,
STOP_ddc1d189-e791-4529-a4d3-360499fe0ce8,364771,3,
364794,364798,3,
364794,364797,3,
364794,364795,3,
364794,364768,3,
364794,364760,3,
364794,364775,3,
364794,364809,3,
364794,364792,3,
364794,364790,3,
364794,364800,3,
364794,364806,3,
364794,364807,3,
364794,364808,3,
364794,364801,3,
364794,364802,3,
364794,364803,3,
364794,hbeh,3,
364794,364759,3,
364794,364804,3,
364794,rd27,3,
364794,p1rq,3,
364794,69rr,3,
364794,364799,3,
364794,e5jq,3,
364794,364796,3,
364794,STOP_d7467004-6a75-4c81-9d0b-a37a8ed87bdc,3,
364794,STOP_5e72748e-99dd-43c0-9e79-0773a4afd1cd,3,
364794,364767,3,
364794,q0fo,3,
364794,STOP_13581b6a-1760-4862-8bfc-6955a15a6fde,3,
364794,x2b2,3,
364794,7uue,3,
364758,364753,3,
364758,364755,3,
364758,364756,3,
364758,STOP_0bb67a21-f462-47cf-b583-bbf05609b1e2,3,
364758,STOP_4b1efeed-c2fb-4934-b3e5-ff5e96084f5c,3,
364758,STOP_aaa24966-5097-4b44-a581-47bfc1e3e7ac,3,
364758,364746,3,
364758,364744,3,
364758,STOP_8518fa5c-6605-499b-8d8f-f212377f3c62,3,
364758,STOP_f5bf6e93-f408-4925-a8f7-880ec2c7f013,3,
364795,364798,3,
364795,364797,3,
364795,364794,3,
364795,364768,3,
364795,364769,3,
364795,364774,3,
364795,364775,3,
364795,364792,3,
364795,364790,3,
364795,364800,3,
364795,364807,3,
364795,364808,3,
364795,364759,3,
364795,364799,3,
364795,364796,3,
364795,STOP_5e72748e-99dd-43c0-9e79-0773a4afd1cd,3,
364795,364767,3,
364795,STOP_13581b6a-1760-4862-8bfc-6955a15a6fde,3,
364795,x2b2,3,
364753,364758,3,
364753,364754,3,
364753,364755,3,
364753,364756,3,
364753,STOP_0bb67a21-f462-47cf-b583-bbf05609b1e2,3,
364753,STOP_aaa24966-5097-4b44-a581-47bfc1e3e7ac,3,
364753,STOP_8518fa5c-6605-499b-8d8f-f212377f3c62,3,
364753,3p9g,3,
364754,364753,3,
364754,364755,3,
364754,3p9g,3,
364755,364758,3,
364755,364753,3,
364755,364754,3,
364755,364756,3,
364755,364751,3,
364755,STOP_0bb67a21-f462-47cf-b583-bbf05609b1e2,3,
364755,STOP_4b1efeed-c2fb-4934-b3e5-ff5e96084f5c,3,
364755,STOP_aaa24966-5097-4b44-a581-47bfc1e3e7ac,3,
364755,364744,3,
364755,STOP_8518fa5c-6605-499b-8d8f-f212377f3c62,3,
364755,3p9g,3,
364755,STOP_f5bf6e93-f408-4925-a8f7-880ec2c7f013,3,
364756,364758,3,
364756,364753,3,
364756,364755,3,
364756,364751,3,
364756,STOP_0bb67a21-f462-47cf-b583-bbf05609b1e2,3,
364756,STOP_4b1efeed-c2fb-4934-b3e5-ff5e96084f5c,3,
364756,STOP_aaa24966-5097-4b44-a581-47bfc1e3e7ac,3,
364756,364746,3,
364756,364744,3,
364756,STOP_fb97980b-5bcf-4c80-8e64-09de1c6358eb,3,
364756,STOP_8518fa5c-6605-499b-8d8f-f212377f3c62,3,
364756,3p9g,3,
